l;a;b;is_ship;size
44.303880625409334;-1.8337352767515425;10.61688091135485;0;4.770684624465665
45.192003663913454;-3.9425961657270157;8.069885077151625;0;6.091309882077698
50.28164844752227;3.630088538795245;15.627771831404736;0;5.247024072160486
27.296689550296094;-7.963640560551563;6.543981518130646;0;4.219507705176107
29.491585590258996;-13.264594217325248;10.221611577406293;0;7.356279876550748
19.823541147263708;-11.433544056666447;1.985884468742506;0;3.332204510175204
48.259478551586895;-4.882461913871932;3.7212597980492936;0;-1
33.12960070269276;-8.401182011429515;6.236617157406092;0;7.291656209174461
22.648106564372323;-11.329047425894391;8.119241061346214;0;7.917171988845776
24.381551693372856;-4.314162479685857;-5.075852370495075;0;6.897704943128636
26.47532799541092;-5.01321843688475;-2.8953399295234785;0;7.529943370601589
23.48314002190658;-4.858400832563727;8.21562526971759;0;3.6375861597263857
51.16217618404924;4.572670904213036;16.668234720029563;0;5.111987788356544
32.92733402883878;0.0015184436488009162;12.75492937196431;0;5.111987788356544
18.840683135867593;-11.0148318275872;3.412643852792987;0;-1
22.059958888947833;-12.780964655281462;12.3687728646128;0;1.3862943611198906
38.445477856049216;-11.420214075508712;13.121485276350706;0;0.6931471805599453
38.442252813498776;-3.044495953220906;10.507490582563626;0;6.324358962381311
38.198499176123285;1.243981389966687;5.845289712200599;0;7.498869733976931
21.223066114343208;-10.3494051175721;6.336753881936906;0;6.546785410760524
36.939181808748586;-4.94084452676548;14.871538028202565;0;5.703782474656201
23.978318185041744;-12.115353157196303;9.94862988822468;0;7.3277805384216315
24.749561949556988;-8.554082339325534;3.194621462103638;0;4.736198448394496
37.84583909826784;-5.285229894028006;0.980822895452325;0;6.75110146893676
21.371564718176597;-14.66404056778135;10.473038389864277;0;2.9444389791664403
32.15604687599786;-2.5140206468561366;10.724858908033987;0;5.056245805348308
19.865988943208023;-13.987529354798934;3.651019247264961;0;4.6913478822291435
28.33961807053405;2.1195164131720037;13.67795261325589;0;3.2188758248682006
19.14853080382802;-12.501938453987972;3.2505169319905307;0;2.8903717578961645
39.436362584727206;-6.075506064966621;5.603523221060329;0;7.43543801981455
14.338631513347444;-5.727127750863454;0.00901043516000186;0;5.799092654460526
19.4002773451253;-11.70296948929646;-0.9330925818960757;0;0.0
36.72808844417427;-12.148011242908167;11.081400190840645;0;7.7039102096163115
41.697320603123735;1.3839447006349528;11.915823154952438;0;5.934894195619588
37.13176015412375;-5.811827594288562;5.564608571052118;0;4.672828834461906
20.499318179497614;-11.708048509788586;3.8325214916527264;0;4.7535901911063645
42.88395813546763;-7.662175520206684;8.198217420705179;0;1.0986122886681098
30.15576083678796;-2.3051133686505043;13.116900220704018;0;3.8918202981106265
24.5519683323454;-13.760320396849002;10.49777482725863;0;7.220373836723949
27.74019239244324;-10.700203685021211;4.054093393794884;0;1.791759469228055
30.823630012122667;1.6024249553027663;8.519019352835947;0;0.6931471805599453
27.059532746437704;-5.195010660179469;15.835471770991724;0;0.0
34.3731729189313;-3.8282004502156286;2.3840940665372377;0;8.187855443695623
30.316068594193585;-11.485366803568962;1.614947630182219;0;8.19229373114764
27.64348257206976;-1.5165663677195396;12.612143793295038;0;4.219507705176107
30.106308987859293;-8.844014159606933;2.9001383593938246;0;3.044522437723423
70.21476748606585;14.144171390007772;23.875286756707137;0;5.272999558563747
27.90133669121585;-4.887557926826723;12.876192059464362;0;5.755742213586912
28.31007617319354;-2.8576521547009452;6.188025250485106;0;6.066108090103747
65.07571937166884;7.140814894036246;18.460280679986404;0;4.820281565605037
52.379588714322125;-1.4857603349048394;8.380331392384875;0;4.605170185988092
60.71764380638641;5.140798734127084;17.339527226935772;0;1.6094379124341003
48.05903881459814;-11.097259025068235;4.170758369592647;1;4.634728988229636
17.81079869619134;-1.147290750877434;-9.574379000734092;0;4.430816798843313
31.398661291878383;-5.0128685037449285;3.8851608380588463;1;4.700480365792417
5.622445310486705;5.275775991379593;-19.171698452076036;0;6.720220155135295
45.71961438794107;-10.85501017188287;-1.5294110103231962;1;5.560681631015528
20.85670719251581;-15.139595292433594;7.926184843116117;0;3.8918202981106265
33.70081187023603;-15.70453065905342;-0.4096918704077684;0;6.472346294500901
15.969819747607268;-5.04644278825633;-7.8547828399332325;1;5.153291594497779
26.22747441252151;-4.094680047973401;-4.394483503188091;1;6.2766434893416445
28.62016836510871;-9.892734646839985;-9.493562002873773;1;7.63433723562832
30.472053903176555;-6.979090412080636;-0.7014358072013076;0;6.513230110912307
38.3996160581137;-14.201735942812753;-17.785653649180677;0;6.184148890937483
17.825363812738363;-3.7056123566502612;-1.9744672574313347;0;5.6240175061873385
44.49330378437191;-4.737012355897406;6.817503468049959;0;4.276666119016055
38.474862754470024;-1.8790712526749778;-8.012080918565083;1;2.1972245773362196
20.9533320711393;-7.856534765692312;-0.7209384083233393;1;5.3612921657094255
36.079772141713484;-9.059661731411303;0.5095426349868107;0;-1
14.641946958641268;-9.660111506086675;-8.238577051818861;0;6.021023349349527
52.27522729460316;-4.032597041214026;5.24270945452604;1;3.9889840465642745
16.833553029319397;-1.783551727137667;-12.300365748958304;0;7.143617602704121
24.38378637943721;-8.972075144637426;0.20129958912932097;0;2.70805020110221
